pubDate_kst,title,matched_tags,used_url,발주처 이름,프로젝트 이름,내용 요약(100자 이내),담당자 연락처,규모,투자금액,공사지역,원본기사 URL 링크
2025-10-27 06:47:00+09:00,민주당 사법개혁안 법조계에 물었더니,['신축'],https://n.news.naver.com/mnews/article/308/0000037375?sid=100,,민주당 사법개혁안 법조계에 물었더니,개혁의 칼날이 사법부를 향하고 있다. 3월7일 지귀연 재판부의 윤석열 구속취소 결정과 5월1일 이재명 대통령 공직선거법 상고심을 파기환송한 대법원 전원합의체 결정 등을 계기로 더불,,,4695,,https://n.news.naver.com/mnews/article/308/0000037375?sid=100
2025-10-27 06:01:00+09:00,"서울 국평 분양가, 올 들어 1억 올라…“내 집 마련 서두른다”",['신축'],https://n.news.naver.com/mnews/article/119/0003016728?sid=101,"인식 팽배
27일 주택도시보증공사","서울 국평 분양가, 올 들어 1억 올라…“내 집 마련 서두른다”",1년새 9440만원 상승에도 “지금이 제일 저렴” 인식 팽배 27일 주택도시보증공사(HUG)의 민간아파트 분양시장 동향 공표보고서에 따르면 지난해 9월부터 올해 8월까지 분양된 전,,84㎡,,,https://n.news.naver.com/mnews/article/119/0003016728?sid=101
2025-10-27 05:04:00+09:00,출산‧양육 취득세 감면 챙겨 주는 강남,['신축'],https://n.news.naver.com/mnews/article/081/0003585386?sid=102,조성명 강남구청,출산‧양육 취득세 감면 챙겨 주는 강남,"생활현장 기반 홍보도 본격 가동 강남구는 출산·양육 가정이 주택 취득세 감면을 제대로 받을 수 있게 서울 자치구 중 최초로 ‘출산서비스 통합처리 신청서’ 서식을 개정하고, 생활현장",,,12,,https://n.news.naver.com/mnews/article/081/0003585386?sid=102
2025-10-26 11:34:00+09:00,끊이지 않는 작업장 안전사고…경주 질식사고 외 3건 더,['신축'],https://n.news.naver.com/mnews/article/003/0013557917?sid=102,고 오전 10시2분께에는 구미시 산동읍의 한 공장 신축공사,끊이지 않는 작업장 안전사고…경주 질식사고 외 3건 더,[안동=뉴시스] 류상현 기자 = 경북도내에서 작업장 안전사고가 끊이지 않고 있다. 26일 경북도에 따르면 전날 경주 안강읍 한 공장의 수조에서 작업자 2명이 질식해 숨지고 2명이 ,,,,경북,https://n.news.naver.com/mnews/article/003/0013557917?sid=102
2025-10-27 06:56:00+09:00,“경기 나쁜데 주가는 왜 오르냐”… 전문가가 말하는 진짜 이유,['증설'],https://n.news.naver.com/mnews/article/023/0003936980?sid=101,주식회사 대한민국에,“경기 나쁜데 주가는 왜 오르냐”… 전문가가 말하는 진짜 이유,"펀드매니저 출신 32년 베테랑 김태우 하나운용 대표의 분석 [왕개미연구소] “한국 대표 기업인 삼성전자와 SK하이닉스의 향후 12개월 영업이익 추정치가 한 달 새 각각 45%, 2",,,10,,https://n.news.naver.com/mnews/article/023/0003936980?sid=101
2025-10-27 06:00:00+09:00,"""'수주잔고 10조' HD현대일렉트릭, 관세압박도 뚫었다"" LS證 등",['증설'],https://n.news.naver.com/mnews/article/014/0005424745?sid=101,765kV 초고압 변압기 등 대형 공사,"""'수주잔고 10조' HD현대일렉트릭, 관세압박도 뚫었다"" LS證 등","분기 사상 역대 최고 영업이익률 달성 수주잔고 약 70억 달러..4분기도 기대감 고조 26일 국내 주요 증권사들은 HD현대일렉트릭이 지난 3·4분기 대미 수입 관세에도, 강력한 업",,,2471,,https://n.news.naver.com/mnews/article/014/0005424745?sid=101
2025-10-27 05:02:00+09:00,"[이코노 브리핑] 금감원, 코인 불공정거래 ‘분 단위’ 감시 예고 외",['증설'],https://n.news.naver.com/mnews/article/022/0004077789?sid=101,,"[이코노 브리핑] 금감원, 코인 불공정거래 ‘분 단위’ 감시 예고 외","[이코노 브리핑] 금감원, 코인 불공정거래 ‘분 단위’ 감시 예고 외 금융감독원은 초단기 시세조종 등 불공정거래 시도를 적발하기 위해 거래 기록을 분 단위로 모니터링할 수 있는 분",,,2,,https://n.news.naver.com/mnews/article/022/0004077789?sid=101
2025-10-27 05:01:00+09:00,지역농식품 공급기지로 위상 ‘우뚝’,['증설'],https://n.news.naver.com/mnews/article/662/0000080618?sid=102,,지역농식품 공급기지로 위상 ‘우뚝’,영업시간 연장·농협택배 운영도 무인계산대 도입 등 편의성 높여 매출 늘며 각종 평가서 잇단 1위 모현농협은 2010년 본점 종합청사를 준공하며 1층에 하나로마트를 개장했다. 이후 ,,,2,,https://n.news.naver.com/mnews/article/662/0000080618?sid=102
2025-10-27 03:05:00+09:00,"코인 불공정거래 감시, ‘분 단위’로 강화한다",['증설'],https://n.news.naver.com/mnews/article/020/0003669887?sid=101,,"코인 불공정거래 감시, ‘분 단위’로 강화한다","코인 불공정거래 감시, ‘분 단위’로 강화한다 상당수 불공정거래 10분 이내 끝나금융감독원이 기존에 하루 단위로 이뤄져 온 가상자산 불공정거래 감시 체계를 ‘분 단위’로 강화한다.",,,2,,https://n.news.naver.com/mnews/article/020/0003669887?sid=101
2025-10-27 03:02:00+09:00,"한국앤컴퍼니, 美테네시 주지사 회동 ‘북미 사업 강화’","['증설', '설비 증설']",https://n.news.naver.com/mnews/article/020/0003669810?sid=101,장은 승용차용 타이어를 생산해 왔으며 현재 공장 증설 공사,"한국앤컴퍼니, 美테네시 주지사 회동 ‘북미 사업 강화’","한국앤컴퍼니, 美테네시 주지사 회동 ‘북미 사업 강화’ 한국앤컴퍼니그룹은 빌 리 테네시 주지사가 24일 오전 경기 성남시 판교 한국앤컴퍼니그룹 본사 테크노플렉스를 방문해 이수일 부",,,,,https://n.news.naver.com/mnews/article/020/0003669810?sid=101
