헤드라인,내용요약,키워드,규모,투자금액,공사지역,담당자 연락처,원본기사 URL 링크,pubDate_kst
"[의약품 관세 직격탄]② 해외 거점 없는 시밀러 후발주자, 대응책은 '로...","시장에서는 바이오시밀러 기업 가운데 해외 생산기지가 없는 중견사들이 가장 큰 영향을 받을 것으로 보고 있다. 이들은 대부분 국내 공장에서 완제품을 제조해 수출하는 구조로, 관세가 ",공장 신설,,,,,https://n.news.naver.com/mnews/article/293/0000074419?sid=101,2025-11-02 12:00:00+09:00
'코스피 5000'의 착시… 주가 올라도 경제체력 떨어진다,"지난 10월 29일 오후 3시 서울 여의도 증권가. 전광판이 초록빛으로 깜박이며 코스피 지수가 4080포인트를 넘었다. 사상 최고치에 근접한 수치다. 증시 안팎에서는 ""'코스피 5","공장 신설, 설비투자, 투자 유치",,180,경기도 파주시,,https://n.news.naver.com/mnews/article/053/0000053267?sid=101,2025-11-01 13:00:00+09:00
"전력·저장·AI가 만든 코스피 슈퍼사이클, 한국형 에너지전환의 서막[...","""AI는 전력 싸움"" 초고압 직류 송전 HVDC, 새 인프라 전쟁터 효성·LS·HD현대일렉트릭, 글로벌 송전망 수주 '3대장' 부상 미국·유럽 노후 송전망 교체, 한국 기업 수혜 ","공장 증설, 설비투자",,,,,https://n.news.naver.com/mnews/article/079/0004081344?sid=101,2025-11-01 05:01:00+09:00
"신재생에너지 기업 태성이엔씨, 전주 탄소국가산단에 100억 투자",(전주=뉴스1) 임충식 기자 = 신재생에너지 기업인 유한회사 태성이엔씨가 전주 탄소소재 국가산업단지에 태양광 창호 개폐기 공장을 짓는다. 전주시는 31일 태성이앤씨와 100억 원 ,"투자협약, 투자유치, 투자 유치",,100,전북,,https://n.news.naver.com/mnews/article/421/0008577833?sid=102,2025-10-31 17:57:00+09:00
"[기자수첩] 의약품 관세 타결, 안도 넘어 방향 고민할 때","한국과 미국이 반년 간 이어진 관세 협상을 마무리했다. 한국의 미국 수출 의약품에 대해 최혜국 대우를 적용하고, 제네릭(복제약) 의약품에는 무관세를 적용하는 것이 골자다. 복잡한 ",공장 신설,,,,,https://n.news.naver.com/mnews/article/296/0000094285?sid=102,2025-10-31 17:01:00+09:00
"'인류를 위한 수소' 현대차, 울산 공장 에 수소연료전지 신 공장 건설","'인류를 위한 수소' 현대차, 울산공장에 수소연료전지 신공장 건설 현대차는 30일 울산공장에서 수소연료전지 신공장 기공식을 열었습니다. 신공장은 울산공장 내 지상 3층, 연면적 9",공장 신설,,"9,300",,,https://n.news.naver.com/mnews/article/057/0001916217?sid=101,2025-10-31 10:10:00+09:00
"'인류를 위한 수소' 현대차, 울산 공장 에 수소연료전지 신 공장 건설","'인류를 위한 수소' 현대차, 울산공장에 수소연료전지 신공장 건설 현대차는 30일 울산공장에서 수소연료전지 신공장 기공식을 열었습니다. 신공장은 울산공장 내 지상 3층, 연면적 9",공장 신설,,"9,300",,,https://n.news.naver.com/mnews/article/057/0001916213?sid=101,2025-10-31 10:03:00+09:00
수소연료전지 공장 첫 삽…“미래 산업 속도”,"[KBS 울산] [앵커] 국내 첫 수소연료전지 공장이 울산에서 첫 삽을 떴습니다. 2년 뒤 완공되면 승용차는 물론 선박과 건설장비 등에도 사용할 전지를 생산할 예정인데요, 수소를 ",공장 신설,,,,,https://n.news.naver.com/mnews/article/056/0012057462?sid=101,2025-10-31 07:38:00+09:00
수소연료전지 공장 첫삽…“미래 산업 속도”,[앵커] 국내 첫 수소연료전지 공장이 울산에서 첫 삽을 떴습니다. 2년 뒤 완공되면 승용차는 물론 선박과 건설장비 등에도 사용할 전지를 생산할 예정입니다. 허성권 기자가 보도합니다,공장 신설,,"9,300",,02-781-1234,https://n.news.naver.com/mnews/article/056/0012057302?sid=102,2025-10-31 06:49:00+09:00
"청주 테크노폴리스 입주업체, '계약상 없는' 주차장 사업 논란","인근 하이닉스 등 상대 140~150대 규모 주차장 사업 1시간 2천원·월 15만5천원 정액제…市, 시정명령 예고 충북 청주시 테크노폴리스 산업단지에 입주한 업체가 수년 동안 부당",공장 신축,,,충북 청주시 테크노폴리,,https://n.news.naver.com/mnews/article/079/0004081290?sid=102,2025-10-31 18:17:00+09:00
한·미 관세 타결에 성장률 오르겠지만…국내 산업 공동화 어쩌나,한·미 관세 타결에 성장률 오르겠지만…국내 산업 공동화 어쩌나 반면 향후 10년간 국내 제조업 신규 투자의 3배 규모로 대미 투자 부품·소재 지방 중기 직격탄…국내 산업 혁신·생산,"설비투자, 신규 투자, 투자 유치",,28,경남연구,,https://n.news.naver.com/mnews/article/032/0003406129?sid=101,2025-11-02 21:04:00+09:00
에코델타시티에 유·초등·특수학교 5곳 문연다,"새로운 주거단지 조성으로 학령인구가 빠르게 늘고 있는 부산 강서구 에코델타시티에 내년 3월 유치원 2곳과 초등학교 1곳, 특수학교 1곳이 문을 연다. 또 학교 인근 주택재개발사업으",신축공사,,,,,https://n.news.naver.com/mnews/article/014/0005428332?sid=102,2025-11-02 19:20:00+09:00
광주 다세대주택 공사 현장서 60대 노동자 추락사,오늘 아침 7시 반쯤 광주 동구 용연동의 다세대주택 신축공사 현장에서 60대 남성 일용직 노동자가 약 12m 높이에서 떨어져 숨졌습니다. 이 남성은 공사 중인 건물 옥상에서 엘리베,신축공사,,,,,https://n.news.naver.com/mnews/article/214/0001459014?sid=102,2025-11-02 18:19:00+09:00
광주 다세대주택 공사 현장서 4m 높이서 떨어진 60대 근로자 숨져,광주 다세대주택 공사현장서 4m 높이서 떨어진 60대 근로자 숨져 이 사고로 근로자는 현장에서 숨진 것으로 파악됐다. 당시 근로자는 엘리베이터 통로 내부에서 작업 중 발을 헛디딘 ,신축공사,,,,,https://n.news.naver.com/mnews/article/448/0000567722?sid=102,2025-11-02 11:11:00+09:00
"""주말 잇단 현장 사고""… 광주·순천서 작업자 2명 숨져","""주말 잇단 현장 사고""… 광주·순천서 작업자 2명 숨져 2일 뉴시스에 따르면 이날 오전 7시28분쯤 광주광역시 동구 용연동 한 주택 신축공사 현장의 노동자 A씨(63)가 4m 높",신축공사,,,광주광역시 동구 용연동,,https://n.news.naver.com/mnews/article/417/0001110681?sid=102,2025-11-02 11:03:00+09:00
광주 다세대주택 공사 현장서 60대 근로자 추락사,(광주=뉴스1) 박지현 기자 = 광주의 한 공사현장에서 근로자가 엘리베이터 통로에 떨어져 숨지는 사고가 발생했다. 2일 동구 등에 따르면 이날 오전 7시 28분쯤 광주 동구 용연동,신축공사,,,,,https://n.news.naver.com/mnews/article/421/0008579782?sid=102,2025-11-02 10:55:00+09:00
광주 공사 장서 60대 노동자 추락해 숨져,오늘(2일) 아침 7시 반쯤 광주 동구 용연동의 한 주택 신축공사현장에서 60대 노동자 A 씨가 4m 높이에서 추락해 숨졌습니다. 이날 사고로 A 씨는 머리 등을 크게 다친 것으로,신축공사,,,,,https://n.news.naver.com/mnews/article/055/0001304717?sid=102,2025-11-02 10:38:00+09:00
광주·순천서 '끼임·추락 사고' 잇따라…노동자 2명 숨졌다(종합),[광주·순천=뉴시스] 김석훈 이영주 기자 = 광주와 전남 순천에서 일하던 60대 노동자가 4m 높이에서 추락하거나 끼임 사고를 당해 숨지는 등 노동 현장 사고가 잇따랐다. 소방당국,신축공사,,,전남,,https://n.news.naver.com/mnews/article/003/0013575307?sid=102,2025-11-02 10:27:00+09:00
광주 주택 신축공사 현장서 4m 추락…60대 노동자 '사망',이날 사고로 머리 등을 크게 다친 A씨가 현장에서 숨졌다. 경찰은 A씨가 엘리베이터 통로에서 작업 도중 추락한 것으로 보고 동료 노동자 등을 상대로 정확한 사고 경위를 조사 중이다,신축공사,,,,,https://n.news.naver.com/mnews/article/003/0013575253?sid=102,2025-11-02 10:08:00+09:00
"[미리보는 이데일리 신문]고환율에 수익악화, 식품기업들 비상경영","[미리보는 이데일리 신문]고환율에 수익악화, 식품기업들 비상경영 △1면 -고환율에 수익악화, 식품기업들 비상경영 -한중 협력관계 복원 닻 올랐다 이재명표 실용외교 본궤도에 -삼성·",라인 증설,,7853,제주,,https://n.news.naver.com/mnews/article/018/0006154248?sid=101,2025-11-02 20:00:00+09:00
"도레이첨단소재, 군산 PPS 공장 증설",도레이첨단소재가 고기능소재 시장 확대를 통해 글로벌 시장에서의 위상 강화에 나선다. 도레이첨단소재는 지난달 31일 전북특별자치도 새만금산업단지에 위치한 군산공장에 연산 5000t ,공장 증설,3600t,,전북,,https://n.news.naver.com/mnews/article/014/0005428242?sid=101,2025-11-02 18:02:00+09:00
한미 관세 타결로 내년 성장률 전망↑···‘산업 공동화’ 그림자도[...,"국내 지역 경제와 중소기업, 쇠퇴 가속화 우려 한·미 관세 협상 타결로 불확실성이 해소되면서 내년도 한국 경제 성장률 전망치가 상향 조정되는 등 경제 전반에 긍정적 영향이 예상된다","설비투자, 투자 유치",,28,경남연구,,https://n.news.naver.com/mnews/article/032/0003406071?sid=101,2025-11-02 15:40:00+09:00
"도레이첨단소재, 군산 PPS라인 증설 ...국내 최대 생산능력 확보","도레이첨단소재는 전북 새만금산업단지 군산공장에 연산 5000t 규모의 PPS(폴리페닐렌 설파이드) 2호기 증설을 완료, 준공식을 개최했다고 2일 밝혔다. PPS는 내열성, 전기 절",라인 증설,3600t,,전북,,https://n.news.naver.com/mnews/article/023/0003938417?sid=101,2025-11-02 15:12:00+09:00
납득할 수 없는 AI 반도체 투자 재원 조달 방안 [세상읽기],"지난 10월1일, 이재명 대통령은 인공지능(AI) 투자 활성화를 위해 금산분리 완화를 검토하겠다고 밝혔다. 이는 오픈에이아이가 삼성전자와 에스케이(SK)하이닉스에 2029년부터 막",생산능력 확대,,,,,https://n.news.naver.com/mnews/article/028/0002774241?sid=110,2025-11-02 18:50:00+09:00
